Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
How many grant hours does :project_name have?,Show available grant hours.,What are the granted hours for :project_name?,project_name,"SELECT
    project_id,
    project_unique_id,
    project_key,
    title AS project_name,
    grant_hours
FROM tbl_projects
WHERE
    status = 1
    AND archive = 0
    AND title = :project_name;",,Tool,get_project_grant_hours,Returns the grant (funded) hours recorded for one project. Params: project_name. The wider hour picture is get_project_hours_summary.
What is the deal value of :project_name?,Show the commercial value of :project_name.,What value is recorded for :project_name?,project_name,,,Needs SQL (Tool),get_project_deal_value,"Intended to return the commercial deal value of one project. SQL NOT YET WRITTEN, although tbl_projects.deal_value is already used by portfolio tools such as get_portfolio_rag_distribution. Params: project_name."
Show infrastructure cost estimates for :project_name.,What monthly infrastructure cost is recorded?,Summarize infrastructure requirement costs.,project_name,"SELECT ir.requirements_id, ir.project_id, ir.tag, ir.provided_by, li.service_category, li.tennancy, li.instance_type, li.region, li.operating_system, li.vcpu, li.memory, li.storage, li.cost, li.monthly_cost, li.version FROM tbl_projects p JOIN project_infrastructure_requirements ir ON ir.project_id = p.project_id JOIN project_requirements_lineitem li ON li.requirements_id = ir.requirements_id WHERE p.title = :project_name ORDER BY ir.requirements_id, li.sl_no;",,Tool,get_project_infrastructure_costs,"Returns infrastructure cost estimate lines for one project - instance, region, spec, unit and monthly cost. Params: project_name. Estimates only; there is no actual-spend data."
What is the budget status of :project_name?,How much project budget remains?,Is :project_name within budget?,project_name,"SELECT
    project_id,
    title AS project_name,
    estimate,
    grant_hours,
    total_hours_booked,
    total_chargable_hours
FROM tbl_projects
WHERE
    status = 1
    AND archive = 0
    AND title = :project_name;",,Tool,get_project_budget_status,"Returns the budget-relevant fields of one project (estimate, grant hours, booked and chargeable hours) from which remaining effort budget can be derived. Params: project_name. No stored remaining-budget figure; margin is unavailable entirely - see get_project_margin."
What is the margin of :project_name?,Show revenue minus project cost.,Is :project_name profitable?,project_name,,,Blocked - Data Not Available,get_project_margin,Intended to return the margin (revenue minus cost) of one project. NOT EXECUTABLE - no cost or revenue data is captured in this instance. Params: project_name. Offer effort-based budget consumption via get_project_budget_status instead.
What are the open risks for :project_name?,Show unresolved risks on :project_name.,List active project risks.,project_name,"SELECT
    p.project_id,
    p.title AS project_name,
    r.risk_id,
    r.reference_no,
    r.title AS risk_title,
    rs.status_name AS risk_status,
    r.rating,
    r.owner_id,
    r.target_closure_date,
    r.review_date
FROM tbl_risk r
INNER JOIN tbl_projects p
    ON r.project_id = p.project_id
LEFT JOIN tbl_risk_status rs
    ON r.status_id = rs.status_id
WHERE
    p.title = 'MIS daily task'   -- Replace with an actual project name
    AND p.status = 1
    AND p.archive = 0
    AND r.status = 1
ORDER BY
    r.rating DESC,
    r.target_closure_date;",,Tool,get_project_open_risks,"Lists the open risks of one project, with rating, owner and target closure date. Params: project_name. Open comes from tbl_risk_status.status_type (1=Open, 2=Closed) - status_type = 3 matches nothing here, and date_closed stores zero-dates."
Which risks are high priority?,Show critical project risks.,List the highest-priority risks.,project_scope,"SELECT r.risk_id, r.reference_no, r.title, p.title AS project_title, rp.priority_name, r.rating, r.rating_color_code, r.target_closure_date, rs.status_name FROM tbl_risk r JOIN tbl_projects p ON p.project_id = r.project_id LEFT JOIN tbl_risk_priority rp ON rp.risk_priority_id = r.risk_priority_id LEFT JOIN tbl_risk_status rs ON rs.status_id = r.status_id WHERE LOWER(rp.priority_name) = 'high' AND r.status = 1 ORDER BY r.rating DESC, r.target_closure_date;",,Tool,get_high_priority_risks,"Lists risks with a high priority rating. Params: project_scope (optional). Caveat: the app bands rating as >=20 Red, 12-19 Amber, <12 Green; ad-hoc thresholds elsewhere in this sheet do not match and the banding model is an open decision (C-12)."
Show details of risk :risk_reference.,Give me the risk record for :risk_reference.,Open risk :risk_reference.,risk_reference,"SELECT r.risk_id, r.reference_no, r.title, r.description, r.cause, r.consequence, r.controls, r.action, p.title AS project_title, pr.probability_name, ri.impact_name, rp.priority_name, r.rating, r.rating_color_code, rs.status_name, r.owner_id, r.target_closure_date, r.revised_target_closure_date, r.date_raised, r.update_date FROM tbl_risk r JOIN tbl_projects p ON p.project_id = r.project_id LEFT JOIN tbl_risk_probability pr ON pr.probability_id = r.probability_id LEFT JOIN tbl_risk_impact ri ON ri.impact_id = r.impact_id LEFT JOIN tbl_risk_priority rp ON rp.risk_priority_id = r.risk_priority_id LEFT JOIN tbl_risk_status rs ON rs.status_id = r.status_id WHERE r.reference_no = :risk_reference AND r.status = 1;",,Tool,get_risk_details,"Returns the full record of one risk - cause, consequence, controls, action, probability, impact, rating, status, owner and dates. Params: risk_reference (tbl_risk.reference_no). For how it changed over time use get_risk_history."
Show risks by probability.,Group active risks by probability rating.,How many risks are in each probability level?,project_scope,"SELECT pr.probability_id, pr.probability_name, pr.probability_value, COUNT(*) AS risk_count FROM tbl_risk r LEFT JOIN tbl_risk_probability pr ON pr.probability_id = r.probability_id WHERE r.status = 1 GROUP BY pr.probability_id, pr.probability_name, pr.probability_value ORDER BY pr.probability_value DESC;",,Tool,get_risk_counts_by_probability,"Returns counts of active risks grouped by probability level. Use for risk distribution by likelihood. Params: project_scope (optional). Counts only, not the risk rows."
Show risks by impact.,Group active risks by impact rating.,How many risks are in each impact level?,project_scope,"SELECT ri.impact_id, ri.impact_name, ri.impact_value, COUNT(*) AS risk_count FROM tbl_risk r LEFT JOIN tbl_risk_impact ri ON ri.impact_id = r.impact_id WHERE r.status = 1 GROUP BY ri.impact_id, ri.impact_name, ri.impact_value ORDER BY ri.impact_value DESC;",,Tool,get_risk_counts_by_impact,"Returns counts of active risks grouped by impact level. Use for risk distribution by severity of consequence. Params: project_scope (optional). Counts only, not the risk rows."
Which risks have no owner?,Show unassigned risks.,List risks without responsibility.,project_scope,"SELECT r.risk_id, r.reference_no, r.title, p.title AS project_title, r.owner_id, r.responsibility, r.target_closure_date FROM tbl_risk r JOIN tbl_projects p ON p.project_id = r.project_id WHERE (r.owner_id = 0 OR r.owner_id IS NULL) AND r.status = 1 ORDER BY r.target_closure_date, r.reference_no;",,Tool,get_risks_without_owner,Lists risks with no owner (owner_id 0 or NULL). Use for risk-governance gaps. Params: project_scope (optional). For owner overload rather than absence use get_risk_owner_concentration.
Which risk actions are due by :date?,Show mitigation work due soon.,List risk actions approaching target closure.,date,,,Blocked - Data Not Available,get_risk_actions_due_by_date,"Intended to list risk mitigation actions due by a date. NOT EXECUTABLE - the risk-action tables are not populated in this instance. Params: date. Closest working alternative: get_overdue_open_risks, which uses dates held on the risk record."
Which open risks are past their target closure date?,Show overdue unresolved risks.,List risks missing target closure.,as_of_date,"SELECT
    r.risk_id,
    r.reference_no,
    p.title AS project_name,
    r.title AS risk_title,
    rs.status_name,
    r.rating,
    r.owner_id,
    COALESCE(r.revised_target_closure_date, r.target_closure_date) AS target_closure_date,
    DATEDIFF('2026-08-11',
             COALESCE(r.revised_target_closure_date, r.target_closure_date)) AS overdue_days
FROM tbl_risk r
INNER JOIN tbl_projects p
    ON r.project_id = p.project_id
LEFT JOIN tbl_risk_status rs
    ON r.status_id = rs.status_id
WHERE
    r.status = 1
    AND COALESCE(r.revised_target_closure_date, r.target_closure_date) < '2026-08-11'
ORDER BY
    overdue_days DESC,
    r.rating DESC;",,Tool,get_overdue_open_risks,"Lists open risks past their target closure date (revised date preferred), with days overdue. Params: as_of_date. Caveat: the published SQL hardcodes 2026-08-11 as the comparison date - bind :as_of_date before execution."
Show the recorded history of risk :risk_reference.,How has risk :risk_reference changed over time?,"Show status, probability, and impact history for :risk_reference.",risk_reference,"SELECT r.reference_no, rh.post_date, rs.status_name, rp.probability_name, ri.impact_name, u.username AS changed_by FROM tbl_risk r JOIN tbl_risk_history rh ON rh.risk_id = r.risk_id LEFT JOIN tbl_risk_status rs ON rs.status_id = rh.status_id LEFT JOIN tbl_risk_probability rp ON rp.probability_id = rh.probability_id LEFT JOIN tbl_risk_impact ri ON ri.impact_id = rh.impact_id LEFT JOIN tbl_users u ON u.user_id = rh.user_id WHERE r.reference_no = :risk_reference ORDER BY rh.post_date DESC;",,Tool,get_risk_history,"Returns the recorded change history of one risk from tbl_risk_history - status, probability, impact and who changed it. Params: risk_reference. For current state only use get_risk_details."
Show risk creation and closure trend for the last :months months.,How are open risks trending?,Give monthly risk movement.,months,"SELECT
    DATE_FORMAT(months.month_start, '%Y-%m') AS month,
    COALESCE(created.risks_created, 0) AS risks_created,
    COALESCE(closed.risks_closed, 0) AS risks_closed
FROM
(
    SELECT DATE_FORMAT(date_raised, '%Y-%m-01') AS month_start
    FROM tbl_risk
    WHERE date_raised >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH)

    UNION

    SELECT DATE_FORMAT(date_closed, '%Y-%m-01') AS month_start
    FROM tbl_risk
    WHERE date_closed >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH)
) months

LEFT JOIN
(
    SELECT
        DATE_FORMAT(date_raised, '%Y-%m-01') AS month_start,
        COUNT(*) AS risks_created
    FROM tbl_risk
    WHERE date_raised >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH)
    GROUP BY DATE_FORMAT(date_raised, '%Y-%m-01')
) created
ON months.month_start = created.month_start

LEFT JOIN
(
    SELECT
        DATE_FORMAT(date_closed, '%Y-%m-01') AS month_start,
        COUNT(*) AS risks_closed
    FROM tbl_risk
    WHERE date_closed >= DATE_SUB(CURDATE(), INTERVAL 6 MONTH)
    GROUP BY DATE_FORMAT(date_closed, '%Y-%m-01')
) closed
ON months.month_start = closed.month_start

ORDER BY months.month_start;",,Tool,get_risk_trend,"Returns monthly counts of risks created and closed over the last N months. Use for whether risk exposure is trending up or down. Params: months. Closure is derived from status, not date_closed, which stores zero-dates."
What are the open issues for :project_name?,Show unresolved issues on :project_name.,List active project issues.,project_name,"SELECT
    p.project_id,
    p.title AS project_name,
    i.issue_id,
    i.reference_no,
    i.title AS issue_title,
    s.status_name AS issue_status,
    i.priority,
    i.severity,
    i.user_id,
    i.planned_closure_date,
    i.date_raised,
    i.update_date
FROM tbl_project_issues i
INNER JOIN tbl_projects p
    ON i.project_id = p.project_id
LEFT JOIN tbl_project_issue_status s
    ON i.issue_status_id = s.issue_status_id
WHERE
    p.title = :project_name
    AND p.status = 1
    AND p.archive = 0
    AND i.status = 1
ORDER BY
    i.priority DESC,
    i.severity DESC,
    i.planned_closure_date;",,Tool,get_project_open_issues,"Lists the open issues of one project, with severity, priority and planned closure date. Params: project_name. Open is status_type != 3 on tbl_project_issue_status, which is safe on this table (developer-confirmed, C-03)."
Show details of issue :issue_reference.,Give me the issue record for :issue_reference.,Open issue :issue_reference.,issue_reference,"SELECT i.issue_id, i.reference_no, i.title, i.description, p.title AS project_title, i.user_id AS raised_by_user_id, i.date_raised, i.date_closed, i.issue_status_id, s.status_name, i.severity, i.priority, i.impact, i.planned_closure_date, i.overdue_status, i.update_date FROM tbl_project_issues i JOIN tbl_projects p ON p.project_id = i.project_id LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id WHERE i.reference_no = :issue_reference AND i.status = 1;",,Tool,get_issue_details,"Returns the full record of one issue - description, severity, priority, impact, status and dates. Params: issue_reference (reference_no). date_closed can hold a zero-date, so judge open/closed by status, not that column."
Which issues have high severity?,Show critical defects or issues.,List high-severity open issues.,project_scope,,,Hold - Pending Clarification,get_high_severity_issues,"Intended to list high-severity issues. PENDING CLARIFICATION - the severity scale and which values count as high are not agreed, and no SQL is published. Params: project_scope. Ask for the definition; get_project_open_issues returns severity per issue meanwhile."
Which open issues are overdue?,Show issues past planned closure date.,List delayed unresolved issues.,as_of_date,"SELECT
    p.project_id,
    p.title AS project_name,
    i.issue_id,
    i.reference_no,
    i.title AS issue_title,
    s.status_name AS issue_status,
    i.priority,
    i.severity,
    i.user_id,
    i.date_raised,
    i.planned_closure_date,
    DATEDIFF('2026-08-11', i.planned_closure_date) AS overdue_days
FROM tbl_project_issues i
INNER JOIN tbl_projects p
    ON i.project_id = p.project_id
LEFT JOIN tbl_project_issue_status s
    ON i.issue_status_id = s.issue_status_id
WHERE
    i.status = 1
    AND i.planned_closure_date IS NOT NULL
    AND i.planned_closure_date < '2026-08-11'
ORDER BY
    overdue_days DESC,
    i.priority DESC,
    i.severity DESC;",,Tool,get_overdue_open_issues,"Lists open issues past their planned closure date, with days overdue. Params: as_of_date. Caveat: the published SQL hardcodes 2026-08-11 as the comparison date - bind :as_of_date before execution."
Show issue counts by status for :project_name.,Summarize issues by workflow status.,How many issues are in each status?,project_name,"SELECT s.issue_status_id, s.status_name, s.status_type, COUNT(*) AS issue_count FROM tbl_project_issues i JOIN tbl_projects p ON p.project_id = i.project_id LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id WHERE p.title = :project_name AND i.status = 1 GROUP BY s.issue_status_id, s.status_name, s.status_type ORDER BY s.status_order, s.status_name;",,Tool,get_project_issue_status_counts,"Returns issue counts for one project grouped by workflow status, including status_type so open and closed can be derived. Params: project_name. Counts only - the row list is get_project_open_issues."
Show issues assigned to :employee_name.,List :employee_name’s project issues.,What issues is :employee_name responsible for?,employee_name,,,Needs SQL (Tool),get_employee_issues,"Intended to list issues assigned to a named employee. SQL NOT YET WRITTEN - tbl_project_issues records a raising user, not a confirmed assignee, so the ownership path needs a decision. Params: employee_name."
Generate a live weekly task summary for :project_name.,Summarise task activity for :project_name between :week_start and :week_end.,Show this week’s task KPIs for :project_name.,project_identifier; week_start; week_end,"SELECT
    p.project_id,
    p.title AS project_name,
    task_stats.total_tasks,
    task_stats.open_tasks,          -- status_type IN (1,2,4,6) -- confirm UAT/Reopened treatment with developer
    task_stats.completed_tasks,     -- status_type = 3
    task_stats.high_priority_tasks,
    task_stats.avg_completion,
    task_stats.last_task_update,
    COALESCE(ts_stats.logged_hours, 0) AS logged_hours
FROM tbl_projects p
INNER JOIN (
    SELECT
        t.project_id,
        COUNT(DISTINCT t.task_id) AS total_tasks,
        SUM(CASE WHEN s.status_type IN (1,2,4,6) THEN 1 ELSE 0 END) AS open_tasks,
        SUM(CASE WHEN s.status_type = 3 THEN 1 ELSE 0 END) AS completed_tasks,
        SUM(CASE WHEN t.priority = 'High' THEN 1 ELSE 0 END) AS high_priority_tasks,
        ROUND(AVG(t.percent_complete), 2) AS avg_completion,
        MAX(t.update_date) AS last_task_update
    FROM tbl_project_tasks t
    LEFT JOIN tbl_project_task_status s ON s.task_status_id = t.task_status_id
    WHERE t.update_date BETWEEN :week_start AND :week_end
       OR t.due_date BETWEEN :week_start AND :week_end
    GROUP BY t.project_id
) task_stats ON task_stats.project_id = p.project_id
LEFT JOIN (
    SELECT t.project_id,
           ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)), 2) AS logged_hours
    FROM tbl_project_tasks t
    INNER JOIN tbl_timesheets ts ON ts.task_id = t.task_id
    WHERE ts.timesheet_date BETWEEN :week_start AND :week_end
    GROUP BY t.project_id
) ts_stats ON ts_stats.project_id = p.project_id
WHERE p.status = 1 AND p.archive = 0 AND p.title = :project_name;",,Tool,get_project_weekly_task_summary,"Returns a live weekly task KPI summary for one project - total, open, completed, high-priority and overdue counts with the week's effort. Params: project_identifier, week_start, week_end. Dimensions are pre-aggregated in subqueries; open counts status_type IN (1,2,4,6)."
Generate a live weekly issue summary for :project_name.,Summarise issue activity for :project_name between :week_start and :week_end.,Show this week’s issue KPIs for :project_name.,project_identifier; week_start; week_end,"SELECT
    p.project_id,
    p.title AS project_name,
    COUNT(i.issue_id) AS total_issues,
    SUM(CASE WHEN i.date_raised BETWEEN :week_start AND :week_end THEN 1 ELSE 0 END) AS issues_raised,
    SUM(CASE WHEN i.date_closed BETWEEN :week_start AND :week_end THEN 1 ELSE 0 END) AS issues_closed,
    SUM(CASE WHEN s.status_type != 3 THEN 1 ELSE 0 END) AS open_issues,  -- was date_closed IS NULL; date_closed is not a reliable NULL check (zero-date default) -- see 2026-08-26 findings doc
    MAX(i.update_date) AS last_issue_update
FROM tbl_projects p
INNER JOIN tbl_project_issues i ON p.project_id = i.project_id
LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id
WHERE
    p.status = 1
    AND p.archive = 0
    AND p.title = :project_name
    AND (
        i.date_raised BETWEEN :week_start AND :week_end
        OR i.update_date BETWEEN :week_start AND :week_end
        OR i.date_closed BETWEEN :week_start AND :week_end
    )
GROUP BY p.project_id, p.title;",,Tool,get_project_weekly_issue_summary,"Returns a live weekly issue KPI summary for one project - total issues plus issues raised and closed in the week. Params: project_identifier, week_start, week_end. Pair with get_project_weekly_task_summary for the full weekly report."
Show the latest executive summary for :project_name.,Give the latest project management summary.,What is the latest executive update for :project_name?,project_name,"SELECT es.executive_id, es.project_id, p.title AS project_title, es.summary, es.stage, es.client_mood, es.live_issues, es.dev_issues, es.resource, es.dev, es.test, es.issues, es.risks, es.pm, es.remaining_tail, es.post_date, es.save_date FROM tbl_project_executive_summary es JOIN tbl_projects p ON p.project_id = es.project_id WHERE p.title = :project_name ORDER BY es.save_date DESC, es.post_date DESC LIMIT 1;",,Tool,get_project_latest_executive_summary,"Returns the most recent executive summary for one project - narrative, stage, client mood and the dev, test, issue, risk and resource commentary. Params: project_name. To find projects lacking a recent update use get_stale_executive_summary_projects."
Give me a portfolio health summary.,"Summarize projects, tasks, risks, and issues.",Show the overall PMS health dashboard.,"current_user_scope, as_of_date","SELECT
    (SELECT COUNT(*) FROM tbl_projects WHERE status = 1 AND archive = 0) AS total_projects,
    task_stats.total_tasks,
    task_stats.open_tasks,          -- status_type IN (1,2,4,6): New/In Progress/UAT/Reopened; excludes Closed(3) and Abandoned(5) -- confirm UAT/Reopened treatment with developer
    task_stats.average_task_completion,
    risk_stats.total_risks,
    issue_stats.total_issues,
    issue_stats.open_issues,        -- status_type != 3 (Closed), per C-03
    ts_stats.logged_hours
FROM (
    SELECT
        COUNT(DISTINCT t.task_id) AS total_tasks,
        SUM(CASE WHEN s.status_type IN (1,2,4,6) THEN 1 ELSE 0 END) AS open_tasks,
        ROUND(AVG(t.percent_complete), 2) AS average_task_completion
    FROM tbl_project_tasks t
    INNER JOIN tbl_projects p ON p.project_id = t.project_id AND p.status = 1 AND p.archive = 0
    LEFT JOIN tbl_project_task_status s ON s.task_status_id = t.task_status_id
    WHERE t.status = 1 AND t.archive = 0
) task_stats,
(
    SELECT COUNT(DISTINCT r.risk_id) AS total_risks
    FROM tbl_risk r
    INNER JOIN tbl_projects p ON p.project_id = r.project_id AND p.status = 1 AND p.archive = 0
    WHERE r.status = 1
) risk_stats,
(
    SELECT
        COUNT(DISTINCT i.issue_id) AS total_issues,
        SUM(CASE WHEN s.status_type != 3 THEN 1 ELSE 0 END) AS open_issues
    FROM tbl_project_issues i
    INNER JOIN tbl_projects p ON p.project_id = i.project_id AND p.status = 1 AND p.archive = 0
    LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id
    WHERE i.status = 1
) issue_stats,
(
    SELECT ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)), 2) AS logged_hours
    FROM tbl_timesheets ts
    INNER JOIN tbl_project_tasks t ON t.task_id = ts.task_id
    INNER JOIN tbl_projects p ON p.project_id = t.project_id AND p.status = 1 AND p.archive = 0
) ts_stats;",,Tool,get_portfolio_health_summary,"Returns a portfolio-wide health dashboard - active project count with pre-aggregated task, issue and risk counts. Params: current_user_scope, as_of_date. Dimensions are aggregated in subqueries (flat joins would multiply rows). Composition by status is get_active_project_summary."
"Which projects require immediate executive attention, ranked from highest to lowest risk?",Show the top :top_n projects needing leadership intervention.,Create an executive exception list for the portfolio.,as_of_date; top_n; scoring_weights,,,NL2SQL Candidate,get_executive_attention_projects,"Intended to rank projects needing immediate executive attention. NO FIXED SQL - NL2SQL candidate: the ranking depends on caller-supplied scoring weights across RAG, overdue work, risk and issue signals. Params: as_of_date, top_n, scoring_weights."
"What percentage of the active portfolio is Red, Amber, or Green when weighted by deal value?",Show deal-value-weighted RAG distribution.,How much portfolio value sits in each RAG category?,as_of_date,"SELECT
    p.rag,
    COUNT(*) AS total_projects,
    SUM(p.deal_value) AS total_deal_value,
    ROUND(
        (SUM(p.deal_value) /
            (SELECT SUM(deal_value)
             FROM tbl_projects
             WHERE status = 1
               AND archive = 0
               AND start_date <= '2026-08-11')
        ) * 100,
        2
    ) AS portfolio_percentage
FROM tbl_projects p
WHERE
    p.status = 1
    AND p.archive = 0
    AND p.start_date <= '2026-08-11'
GROUP BY
    p.rag
ORDER BY
    total_deal_value DESC;",,Tool,get_portfolio_rag_distribution,"Returns the active portfolio's RAG distribution weighted by deal value - count, value and percentage of portfolio value per band. Params: as_of_date. Value-weighted, so it will not match a plain project-count split."
How much deal value is currently at risk in Red and Amber projects?,Show total commercial exposure in unhealthy projects.,What is the value of the portfolio requiring recovery action?,as_of_date; risk_rag_values,"SELECT
    CONCAT(u.first_name, ' ', u.last_name) AS project_manager,
    c.client_name,
    pt.project_type,
    ps.stage_name,
    COUNT(p.project_id) AS total_projects,
    SUM(p.deal_value) AS deal_value_at_risk
FROM tbl_projects p

LEFT JOIN tbl_users u
    ON p.pm_user_id = u.user_id

LEFT JOIN tbl_clients c
    ON p.client_id = c.client_id

LEFT JOIN tbl_project_types pt
    ON p.project_type_id = pt.project_type_id

LEFT JOIN tbl_project_stages ps
    ON p.project_stage_id = ps.stage_id

WHERE
    p.status = 1
    AND p.archive = 0
    AND p.start_date <= '2026-08-11'
    AND p.rag IN ('Red','Amber')

GROUP BY
    project_manager,
    c.client_name,
    pt.project_type,
    ps.stage_name

ORDER BY
    deal_value_at_risk DESC;",,Hold - Pending Clarification,get_deal_value_at_risk,"Intended to total the deal value sitting in unhealthy (Red/Amber) projects by PM, client, type and stage. PENDING CLARIFICATION - which RAG values count as at risk is not agreed and the SQL does not yet filter on RAG, so it totals everything. Params: as_of_date, risk_rag_values."
Which projects are most likely to miss their committed end dates?,Forecast projects at risk of schedule slippage.,Which projects need intervention to protect their delivery date?,as_of_date; forecast_horizon; scoring_weights,,,NL2SQL Candidate,get_schedule_slippage_forecast,"Intended to forecast which projects will miss their committed end dates. NO FIXED SQL - NL2SQL candidate; no schedule-baseline history exists to compute slippage deterministically. Params: as_of_date, forecast_horizon, scoring_weights. Available today: get_overdue_projects."
Which project managers carry the highest concentration of Red or Amber projects?,Rank PMs by unhealthy project count and value.,Which PM portfolios need additional leadership support?,as_of_date; rag_values,"SELECT
    u.user_id,
    CONCAT(u.first_name,' ',u.last_name) AS project_manager,
    COUNT(DISTINCT p.project_id) AS unhealthy_projects,
    SUM(p.deal_value) AS total_deal_value,
    COALESCE(t.overdue_tasks,0) AS overdue_tasks,
    COALESCE(i.open_issues,0) AS open_issues,
    COALESCE(r.open_risks,0) AS open_risks
FROM tbl_projects p
INNER JOIN tbl_users u
    ON p.pm_user_id = u.user_id

LEFT JOIN
(
    SELECT
        p2.pm_user_id,
        COUNT(*) AS overdue_tasks
    FROM tbl_project_tasks t
    INNER JOIN tbl_projects p2
        ON t.project_id = p2.project_id
    WHERE
        t.status = 1
        AND t.due_date < '2026-08-11'
    GROUP BY p2.pm_user_id
) t
ON p.pm_user_id = t.pm_user_id

LEFT JOIN
(
    SELECT
        p2.pm_user_id,
        COUNT(*) AS open_issues
    FROM tbl_project_issues i
    INNER JOIN tbl_projects p2
        ON i.project_id = p2.project_id
    WHERE i.status = 1
    GROUP BY p2.pm_user_id
) i
ON p.pm_user_id = i.pm_user_id

LEFT JOIN
(
    SELECT
        p2.pm_user_id,
        COUNT(*) AS open_risks
    FROM tbl_risk r
    INNER JOIN tbl_projects p2
        ON r.project_id = p2.project_id
    WHERE r.status = 1
    GROUP BY p2.pm_user_id
) r
ON p.pm_user_id = r.pm_user_id

WHERE
    p.status = 1
    AND p.archive = 0
    AND p.start_date <= '2026-08-11'
    AND p.rag IN ('Red','Amber')

GROUP BY
    u.user_id,
    project_manager

ORDER BY
    unhealthy_projects DESC,
    total_deal_value DESC;",,Tool,get_pm_unhealthy_project_concentration,"Ranks project managers by their concentration of Red or Amber projects, with deal value, overdue tasks and open issues per PM. Use for which PMs need support. Params: as_of_date, rag_values."
"How are project managers performing across delivery, effort, risk, and issue KPIs?",Show a comparative PM delivery scorecard.,Which PMs consistently deliver healthy projects?,period; scoring_weights; minimum_project_count,,,NL2SQL Candidate,get_pm_delivery_scorecard,"Intended to score project managers across delivery, effort, risk and issue KPIs. NO FIXED SQL - NL2SQL candidate: KPI weighting and the minimum project count for fairness are caller decisions. Params: period, scoring_weights, minimum_project_count."
Which projects are consuming effort faster than they are completing work?,Compare effort burn against delivery completion across the portfolio.,Where is effort consumption outpacing progress?,as_of_date; burn_threshold; completion_method,"SELECT
    p.project_id,
    p.title AS project_name,
    p.estimate AS estimated_hours,
    p.total_hours_booked,

    ROUND(
        (p.total_hours_booked / NULLIF(p.estimate,0)) * 100,
        2
    ) AS burn_percentage,

    ROUND(AVG(t.percent_complete),2) AS completion_percentage,

    ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)),2) AS total_timesheet_hours,

    CASE
        WHEN ROUND((p.total_hours_booked / NULLIF(p.estimate,0))*100,2) >= 80
             AND ROUND(AVG(t.percent_complete),2) < 50
        THEN 'High Burn / Low Completion'
        ELSE 'Normal'
    END AS burn_status

FROM tbl_projects p

LEFT JOIN tbl_project_tasks t
       ON p.project_id = t.project_id
      AND t.status = 1
      AND t.archive = 0

LEFT JOIN tbl_timesheets ts
       ON t.task_id = ts.task_id

WHERE p.status = 1
  AND p.archive = 0
  AND p.start_date <= '2026-08-11'

GROUP BY
    p.project_id,
    p.title,
    p.estimate,
    p.total_hours_booked

ORDER BY burn_percentage DESC;",,Tool,get_high_burn_low_completion_projects,"Lists projects whose effort burn outpaces delivery progress, with burn percentage against average completion. Params: as_of_date, burn_threshold, completion_method. Completion is the unweighted average of task percent_complete - a proxy, not earned value."
Which projects have consumed more than :burn_percent of estimated effort but completed less than :completion_percent of work?,"Find high-burn, low-progress projects.",Which projects show the strongest effort-to-progress mismatch?,burn_percent; completion_percent; as_of_date,"SELECT
    p.project_id,
    p.title AS project_name,
    p.estimate AS estimated_hours,
    p.total_hours_booked,

    ROUND((p.total_hours_booked / NULLIF(p.estimate, 0)) * 100, 2) AS burn_percentage,

    ROUND(AVG(t.percent_complete), 2) AS completion_percentage,

    ROUND(SUM(IFNULL(ts.hours,0) + IFNULL(ts.minutes,0)/60),2) AS total_logged_hours

FROM tbl_projects p

LEFT JOIN tbl_project_tasks t
    ON p.project_id = t.project_id
    AND t.status = 1
    AND t.archive = 0

LEFT JOIN tbl_timesheets ts
    ON t.task_id = ts.task_id

WHERE
    p.status = 1
    AND p.archive = 0
    AND p.start_date <= '2026-08-11'

GROUP BY
    p.project_id,
    p.title,
    p.estimate,
    p.total_hours_booked

HAVING
    ROUND((p.total_hours_booked / NULLIF(p.estimate, 0)) * 100, 2) >= 80
    AND ROUND(AVG(t.percent_complete), 2) <= 50

ORDER BY
    burn_percentage DESC,
    completion_percentage ASC;",,Tool,get_projects_over_burn_threshold,"Lists projects that burned more than a given percentage of estimated effort while completing less than a given percentage of work. Use when the caller supplies explicit thresholds; get_high_burn_low_completion_projects is the unparameterised view. Params: burn_percent, completion_percent, as_of_date."
